Filename,Type,FPS,Duration,Width,Height
737,original,25.0,14.76,640,480
938,original,25.0,14.76,640,480
904,original,30.0,11.966666666666667,1920,1080
657,original,25.0,21.84,656,480
441,original,30.0,10.166666666666666,640,480
469,original,30.0,13.8,854,480
468,original,25.0,23.88,600,480
642,original,25.0,22.92,656,480
044,original,30.0,11.166666666666666,1280,720
246,original,30.0,16.533333333333335,1280,720
520,original,25.0,14.0,1280,720
252,original,25.0,22.88,800,480
522,original,25.0,28.52,602,480
046,original,30.0,16.8,1280,720
720,original,30.0,18.8,656,480
654,original,25.0,16.4,640,480
668,original,30.0,13.266666666666667,654,480
683,original,30.0,10.066666666666666,1920,1080
456,original,25.0,24.32,1280,720
324,original,25.0,49.96,640,480
481,original,30.0,13.8,1280,720
866,original,30.0,16.966666666666665,1920,1080
292,original,30.0,14.166666666666666,1280,720
251,original,25.0,13.84,1920,1080
062,original,30.0,14.1,640,480
670,original,25.0,19.24,640,480
664,original,30.0,9.766666666666667,1280,720
665,original,25.0,12.96,640,480
671,original,30.0,11.433333333333334,1280,720
088,original,25.0,26.6,640,480
261,original,25.0,27.08,600,480
263,original,30.0,10.0,1280,720
288,original,25.0,21.72,640,480
920,original,25.0,14.84,1920,1080
897,original,25.0,13.32,656,480
101,original,30.0,38.266666666666666,854,480
470,original,25.0,36.2,642,480
672,original,30.0,18.033333333333335,1280,720
128,original,25.0,29.4,640,480
896,original,25.0,21.24,640,480
882,original,30.0,11.1,1920,1080
060,original,25.0,33.76,600,480
706,original,30.0,10.933333333333334,1920,1080
712,original,25.0,22.0,1280,720
289,original,25.0,23.88,720,480
272,original,30.0,10.766666666666667,1280,720
266,original,25.0,18.6,720,480
716,original,25.0,25.12,600,480
919,original,30.0,17.8,640,480
892,original,30.0,10.366666666666667,1920,1080
448,original,30.0,17.6,1280,720
688,original,30.0,19.033333333333335,1280,720
878,original,30.0,24.533333333333335,1280,720
677,original,30.0,10.466666666666667,1280,720
924,original,25.0,49.92,600,480
071,original,30.0,15.1,654,480
529,original,30.0,11.166666666666666,1920,1080
271,original,30.0,16.333333333333332,640,480
661,original,25.0,20.52,1280,720
107,original,25.0,22.24,640,480
649,original,30.0,31.0,1280,720
891,original,30.0,9.866666666666667,1280,720
852,original,25.0,17.08,640,480
339,original,30.0,15.233333333333333,640,480
488,original,30.0,17.266666666666666,854,480
853,original,30.0,20.533333333333335,1280,720
648,original,25.0,18.84,1280,720
112,original,30.0,13.933333333333334,1920,1080
066,original,30.0,14.5,720,480
258,original,30.0,16.6,1280,720
264,original,30.0,15.166666666666666,854,480
565,original,25.0,17.2,656,480
015,original,30.0,14.566666666666666,640,480
175,original,25.0,20.16,640,480
607,original,30.0,15.133333333333333,1920,1080
834,original,25.0,12.12,720,480
439,original,30.0,15.4,640,480
376,original,25.0,20.6,1280,720
438,original,30.0,18.066666666666666,640,480
835,original,25.0,17.04,1920,1080
969,original,25.0,14.24,656,480
982,original,25.0,33.8,854,480
228,original,25.0,22.24,854,480
572,original,30.0,11.566666666666666,1280,720
200,original,25.0,28.76,854,480
599,original,30.0,13.266666666666667,1280,720
994,original,25.0,12.64,640,480
980,original,25.0,15.32,656,480
943,original,25.0,18.8,1280,720
189,original,25.0,20.48,640,480
360,original,25.0,15.4,1280,720
375,original,25.0,14.12,1280,720
361,original,30.0,15.166666666666666,1280,720
611,original,30.0,21.5,640,480
942,original,25.0,19.8,1280,720
771,original,25.0,25.36,656,480
981,original,25.0,14.88,600,480
598,original,25.0,27.44,640,480
588,original,25.0,21.76,854,480
985,original,25.0,13.72,640,480
952,original,30.0,23.333333333333332,1280,720
615,original,25.0,18.08,1280,720
827,original,30.0,10.366666666666667,640,480
628,original,25.0,35.8,640,480
614,original,25.0,20.28,1280,720
947,original,30.0,21.366666666666667,1280,720
953,original,25.0,14.04,1280,720
990,original,25.0,12.2,854,480
760,original,30.0,10.2,854,480
589,original,25.0,27.44,640,480
210,original,30.0,27.966666666666665,654,480
206,original,25.0,28.56,656,480
004,original,25.0,12.36,1280,720
986,original,25.0,33.12,1280,720
992,original,25.0,28.72,600,480
945,original,30.0,25.366666666666667,1280,720
951,original,30.0,39.2,1280,720
616,original,25.0,26.52,640,480
819,original,25.0,37.08,1920,1080
399,original,30.0,28.733333333333334,1280,720
830,original,25.0,20.44,600,480
159,original,25.0,13.0,600,480
944,original,30.0,11.4,720,480
987,original,25.0,23.0,600,480
